Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13,Cole Anthony,PG,22,ORL,52,3,1325,228,515,0.443,62,176,0.352,166,339,0.49,0.503,136,153,0.889,39,199,238,203,32,28,75,136,654
14,OG Anunoby,SF,25,TOR,58,58,2072,361,760,0.475,118,305,0.387,243,455,0.534,0.553,133,159,0.836,82,212,294,110,114,42,125,176,973
15,Ryan Arcidiacono,PG,28,TOT,16,1,87,6,17,0.353,5,10,0.5,1,7,0.143,0.5,0,0,,0,11,11,9,3,0,4,11,17
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,2,2,0,1,3,3
15,Ryan Arcidiacono,PG,28,POR,5,1,61,5,12,0.417,4,7,0.571,1,5,0.2,0.583,0,0,,0,7,7,7,1,0,3,8,14
16,Deni Avdija,SF,22,WAS,69,34,1784,211,499,0.423,58,202,0.287,153,297,0.515,0.481,110,145,0.759,71,359,430,175,57,28,97,191,590
17,Deandre Ayton,C,24,PHO,61,61,1857,487,827,0.589,7,24,0.292,480,803,0.598,0.593,136,181,0.751,161,458,619,111,34,47,111,173,1117
18,Udoka Azubuike,C,23,UTA,27,0,171,30,35,0.857,0,0,,30,35,0.857,0.857,3,10,0.3,18,46,64,7,5,8,11,16,63
19,Marvin Bagley III,C,23,DET,34,19,776,159,299,0.532,10,47,0.213,149,252,0.591,0.548,58,81,0.716,85,139,224,28,14,26,37,71,386
20,Patrick Baldwin Jr.,SF,20,GSW,26,0,210,40,100,0.4,30,77,0.39,10,23,0.435,0.55,4,6,0.667,1,35,36,7,6,4,11,14,114
21,LaMelo Ball,PG,21,CHO,36,36,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838
22,Mo Bamba,C,24,TOT,47,7,762,116,238,0.487,48,123,0.39,68,115,0.591,0.588,41,62,0.661,56,165,221,46,13,42,30,103,321
22,Mo Bamba,C,24,ORL,40,6,681,106,214,0.495,43,108,0.398,63,106,0.594,0.596,35,51,0.686,47,137,184,42,12,38,22,86,290
22,Mo Bamba,C,24,LAL,7,1,81,10,24,0.417,5,15,0.333,5,9,0.556,0.521,6,11,0.545,9,28,37,4,1,4,8,17,31
23,Paolo Banchero,PF,20,ORL,65,65,2200,434,1023,0.424,74,262,0.282,360,761,0.473,0.46,357,481,0.742,73,358,431,235,56,33,178,146,1299
24,Desmond Bane,SG,24,MEM,49,49,1534,371,791,0.469,137,341,0.402,234,450,0.52,0.556,154,174,0.885,35,215,250,207,46,19,108,122,1033
25,Dalano Banton,PG,23,TOR,27,2,251,46,112,0.411,13,46,0.283,33,66,0.5,0.469,15,19,0.789,9,27,36,29,13,12,16,31,120
26,Dominick Barlow,SF,19,SAS,17,0,199,22,42,0.524,0,4,0,22,38,0.579,0.524,10,13,0.769,21,25,46,10,5,7,10,31,54
27,Harrison Barnes,PF,30,SAC,71,71,2330,323,686,0.471,117,314,0.373,206,372,0.554,0.556,301,355,0.848,69,263,332,113,48,10,77,95,1064
